dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2003,0.975,2.293260192169414,13
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2003,0.825,1.683876857064447,7
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2003,0.975,2.509427336339698,15
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2004,0.95,1.0999410189739147,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2004,1.0,1.3034209843582623,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2004,0.95,1.609689021018888,6
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2004,1.0,2.2238935503887767,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2004,0.95,1.8114875020156096,8
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2004,1.0,2.4379659927130586,14
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2005,0.975,1.2164813307576494,2
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2005,1.0,1.4356417660984093,4
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2005,0.975,1.8712138323333634,8
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2005,1.0,2.3173616375759862,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2005,0.925,2.091688083720875,10
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2005,1.0,2.6673943387404955,15
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2006,1.0,1.1003207217134707,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2006,1.0,1.20190509240304,2
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2006,1.0,1.6068672263847297,6
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2006,1.0,1.9116428112549908,9
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2006,0.975,1.809276412616316,8
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2006,1.0,2.2239483025451614,12
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2007,0.925,1.0,0
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2007,1.0,1.2914059764874035,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2007,0.875,1.2914059764874035,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2007,1.0,2.389180300314585,14
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2007,0.9,1.5835766993992484,6
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2007,1.0,2.939127021411367,19
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2008,0.875,1.2068111325071778,2
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2008,0.975,1.828287543823643,8
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2008,0.9,2.036534581911625,10
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2008,1.0,3.400585073241742,22
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2008,0.9,2.247758568599699,12
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2008,1.0,3.907084341241073,26
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2009,0.925,1.1034107205865047,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2009,0.95,1.3125550188567172,3
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2009,0.875,1.6252394565778379,6
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2009,0.975,2.1510100604962434,11
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2009,0.875,1.8340246198296157,8
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2009,0.975,2.590544194795263,15
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2010,0.95,1.1039034890064343,1
wbc,universeg,cuda:0,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2010,0.95,1.209077218583014,2
wbc,universeg,cuda:0,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2010,0.925,1.6297478403917816,6
wbc,universeg,cuda:0,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2010,0.95,2.0489261629997153,10
wbc,universeg,cuda:0,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2010,0.925,1.8389868135927512,8
wbc,universeg,cuda:0,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2010,0.975,2.36882885778596,13
wbc,universeg,cuda:0,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2011,0.875,1.0,0
