dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2004,0.9,1.2016340049425722,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2004,0.956,3.0710612852138524,41
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2004,0.88,1.603721388236668,14
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2004,0.976,5.414031184677693,74
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2004,0.9,1.9549950638716407,21
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2004,0.972,5.309041002006359,76
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2005,0.948,1.5147000394036867,12
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2005,0.96,3.300064723155723,46
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2005,0.864,1.4834675354613724,11
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2005,0.94,3.10072663314849,43
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2005,0.924,2.372227623309521,30
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2005,0.948,4.161402185306135,59
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2006,0.888,1.153079584176689,4
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2006,0.92,2.0553313734891314,23
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2006,0.932,2.2504746641300706,26
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2006,0.976,5.40148004217177,74
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2006,0.94,2.603974754531261,33
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2006,0.988,6.168089623834709,84
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2007,0.896,1.195780245777683,5
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2007,0.928,2.0754666940000517,24
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2007,0.94,2.2647503531208386,28
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2007,0.952,3.7857556396343983,55
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2007,0.936,2.4203900336977187,31
polyps,pranet,cpu,fixed_disk,0.999,0.05,cross,{'strict_radius': True},2007,0.968,5.059157424618024,70
polyps,pranet,cpu,fixed_disk,0.9,0.1,cross,{'strict_radius': True},2008,0.912,1.2542104743065916,6
polyps,pranet,cpu,fixed_disk,0.9,0.05,cross,{'strict_radius': True},2008,0.964,3.647568565155608,53
polyps,pranet,cpu,fixed_disk,0.99,0.1,cross,{'strict_radius': True},2008,0.912,1.7997750747668715,18
polyps,pranet,cpu,fixed_disk,0.99,0.05,cross,{'strict_radius': True},2008,0.976,5.3167969712460525,74
polyps,pranet,cpu,fixed_disk,0.999,0.1,cross,{'strict_radius': True},2008,0.864,1.6330245803744166,15
