dataset,model,device,chosen_nc_score,covratio,alpha,structuring_element,se_params,random_seed,coverage,stretch,cp_quantile
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2004,0.84,2.7928463767846954,0.7072490968570042
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2004,0.972,17.248107875125992,0.8394333343647205
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2004,0.868,15.426348241317505,0.79162584585458
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2004,0.948,15.665044207676129,0.8592952148776982
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2005,0.928,1.3420875644077832,0.6259048419533473
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2005,0.944,2.1864375904762,0.6947608078535783
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2005,0.892,7.866140879706534,0.7357509877019108
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2005,0.96,14.917082582124722,0.8286189989070571
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2005,0.916,14.279627691636412,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2005,0.936,16.12447540069344,0.8537444248383812
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2006,0.912,1.2469480568013804,0.6197217806970272
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2006,0.932,1.9155279226110957,0.6849078074450725
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2006,0.88,6.266143420629803,0.7289908119699744
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2006,0.96,16.195632710956126,0.8286189989070571
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2006,0.924,14.984948201039312,0.808363724053887
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2006,0.952,16.93835777301188,0.8630317185498892
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2007,0.88,1.1307702967871498,0.5742911826139139
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2007,0.9,1.3655983219027896,0.6450509667136259
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2007,0.948,14.242972244763964,0.7833016913495525
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2007,0.948,14.831644185167745,0.8192911933062472
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2007,0.92,14.046643508034965,0.8068616808055653
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2007,0.976,17.306624340351096,0.8938187579515233
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2008,0.9,1.197189581898699,0.6036570031608761
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2008,0.956,2.5090921899552843,0.700849066625989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2008,0.924,13.726493950679673,0.7666185153255816
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2008,0.952,16.20057942961708,0.8218605000963377
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2008,0.884,13.532419839504739,0.7946513835159354
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2008,0.972,16.84875888358828,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2009,0.888,1.135777156265981,0.5818368033696855
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2009,0.94,2.0041881175577707,0.6933113946313059
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2009,0.9,8.775350335841267,0.7368877134664524
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2009,0.988,15.758940535957468,0.870713276939707
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2009,0.884,14.913295379411224,0.7946513835159354
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2009,0.94,14.779110884608851,0.8588348114832476
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2010,0.916,1.2606920279911191,0.6198331242711825
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2010,0.956,2.4438496529318123,0.700849066625989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2010,0.924,14.982571658647306,0.7666185153255816
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2010,0.932,13.848796210128759,0.8032055610204685
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2010,0.916,15.999856578752674,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2010,0.976,17.43935101460534,0.8938187579515233
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2011,0.908,1.1786074850060422,0.6185022321564526
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2011,0.92,1.397918346500418,0.6698795881052968
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2011,0.908,11.200460302292122,0.7510316969250512
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2011,0.944,15.962130637277639,0.8153992519253768
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2011,0.908,14.4296655820697,0.8045244568745593
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2011,0.928,15.899727337870209,0.845376907735127
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2012,0.928,1.1999555279126224,0.6259048419533473
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2012,0.924,1.502732868547635,0.6714211825087402
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2012,0.86,4.391154779576187,0.7211922233201511
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2012,0.984,14.57531209258265,0.8666160967311578
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2012,0.888,13.59088698847394,0.796305635958797
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2012,0.98,18.2771749510204,0.8955283468300399
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2013,0.892,1.1414593079397384,0.5836363977245504
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2013,0.936,1.8337251844252178,0.6884317282783297
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2013,0.896,7.276006183613704,0.7363772969613169
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2013,0.948,16.049289635072444,0.8192911933062472
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2013,0.932,15.829645021567663,0.813537265553073
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2013,0.968,15.79195977614864,0.8765963626033955
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2014,0.912,1.2307946189657313,0.6197217806970272
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2014,0.94,2.3075551196019184,0.6933113946313059
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2014,0.916,12.708786859237858,0.7582317478320153
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2014,0.908,13.586042798131409,0.787712876612864
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2014,0.872,15.041980210243674,0.793053329602329
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2014,0.972,16.928519502550255,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2015,0.908,1.2806211037832136,0.6185022321564526
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2015,0.956,2.845674393123515,0.700849066625989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2015,0.916,12.774645296436752,0.7582317478320153
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2015,0.976,16.542212255701955,0.845293136730751
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2015,0.916,15.153314921823604,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2015,0.956,15.240483846185052,0.8669844675328866
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2016,0.92,1.3068155222319473,0.620510802857865
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2016,0.972,4.627416003157703,0.7246419813284275
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2016,0.82,2.4127402032830516,0.6956684144442855
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2016,0.956,14.586179098938294,0.8257923834582757
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2016,0.916,14.82728128799284,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2016,0.964,15.433984836653833,0.8757604228842171
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2017,0.904,1.230066536303374,0.6094462077559912
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2017,0.956,2.3020856732622983,0.700849066625989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2017,0.912,12.474849677250209,0.7516039458421684
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2017,0.948,15.145497726271726,0.8192911933062472
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2017,0.896,13.439709606412917,0.7988088486345566
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2017,0.952,15.624710856984123,0.8630317185498892
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2018,0.916,1.2620392794048407,0.6198331242711825
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2018,0.972,4.833721465285499,0.7246419813284275
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2018,0.904,9.769338191726133,0.7444804886497138
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2018,0.916,14.610025939344425,0.7903217993456453
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2018,0.948,15.801701164757509,0.8319778480717757
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2018,0.956,15.366341194505825,0.8669844675328866
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2019,0.952,1.2768003723320394,0.6450509667136259
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2019,0.956,2.402450009664844,0.700849066625989
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2019,0.896,7.6374508755298995,0.7363772969613169
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2019,0.972,16.634237856535787,0.8394333343647205
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2019,0.916,15.43480060152718,0.8053789290864062
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2019,0.972,14.221283109505857,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2020,0.916,1.2848782291334864,0.6198331242711825
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2020,0.964,2.257644097512919,0.7025118155091725
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2020,0.84,2.841144517246721,0.7072490968570042
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2020,0.948,15.078481249439832,0.8192911933062472
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2020,0.924,14.140043067356702,0.808363724053887
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2020,0.956,15.710527589827658,0.8669844675328866
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2021,0.904,1.2290446465855425,0.6094462077559912
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2021,0.972,4.40086364130165,0.7246419813284275
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2021,0.916,12.588596083122997,0.7582317478320153
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2021,0.956,15.181528887482258,0.8257923834582757
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2021,0.876,14.36313824900223,0.793395831229887
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2021,0.972,16.16600937613509,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2022,0.856,1.0690777514422323,0.5461322783975371
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2022,0.972,5.016425061586588,0.7246419813284275
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2022,0.944,14.311159755180045,0.7829370307208086
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2022,0.964,16.188709570962708,0.8296995999727956
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2022,0.936,14.763454474866082,0.8208241682248136
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2022,0.948,15.670957688471205,0.8592952148776982
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2023,0.92,1.2949777123098845,0.620510802857865
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2023,0.952,2.4509344586175805,0.6967158174642529
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2023,0.908,12.497129632307063,0.7510316969250512
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2023,0.94,14.452533515490417,0.8094708414873573
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2023,0.908,15.941090421848063,0.8045244568745593
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2023,0.972,18.032574351972688,0.8774585605228129
polyps,pranet,cpu,thresholding,0.9,0.1,threshold,,2024,0.872,1.099208297862509,0.5626806290921245
polyps,pranet,cpu,thresholding,0.9,0.05,threshold,,2024,0.94,2.0174609258508207,0.6933113946313059
polyps,pranet,cpu,thresholding,0.99,0.1,threshold,,2024,0.804,2.2000936464394254,0.6932188199230804
polyps,pranet,cpu,thresholding,0.99,0.05,threshold,,2024,0.944,16.181661224332117,0.8153992519253768
polyps,pranet,cpu,thresholding,0.999,0.1,threshold,,2024,0.864,15.906771348874202,0.791193389762066
polyps,pranet,cpu,thresholding,0.999,0.05,threshold,,2024,0.968,16.072969223520477,0.8765963626033955
